QUESTION.question,ANSWER
"What is the clay content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""clay""}}"
"What is the clay content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""clay""}}"
"What is the organic_carbon content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""organic_carbon""}}"
"What is the silt content in Paris, France?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Paris, France"", ""variable"": ""silt""}}"
"What is the clay content in Sydney, Australia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Sydney, Australia"", ""variable"": ""clay""}}"
"What is the moisture content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""moisture""}}"
"What is the pH content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""pH""}}"
"What is the moisture content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""moisture""}}"
"What is the sand content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""sand""}}"
"What is the clay content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""clay""}}"
"What is the sand content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""sand""}}"
"What is the silt content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""silt""}}"
"What is the organic_carbon content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""organic_carbon""}}"
"What is the organic_carbon content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""organic_carbon""}}"
"What is the nitrogen content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""nitrogen""}}"
"What is the pH content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""pH""}}"
"What is the silt content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""silt""}}"
"What is the organic_carbon content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""organic_carbon""}}"
"What is the nitrogen content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""nitrogen""}}"
"What is the silt content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""silt""}}"
"What is the sand content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""sand""}}"
"What is the nitrogen content in Dublin, Ireland?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Dublin, Ireland"", ""variable"": ""nitrogen""}}"
"What is the moisture content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""moisture""}}"
"What is the moisture content in Cape Town, South Africa?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Cape Town, South Africa"", ""variable"": ""moisture""}}"
"What is the pH content in Toronto, Canada?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Toronto, Canada"", ""variable"": ""pH""}}"
"What is the pH content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""pH""}}"
"What is the nitrogen content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""nitrogen""}}"
"What is the moisture content in Sydney, Australia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Sydney, Australia"", ""variable"": ""moisture""}}"
"What is the clay content in California, USA?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""California, USA"", ""variable"": ""clay""}}"
"What is the moisture content in Sydney, Australia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Sydney, Australia"", ""variable"": ""moisture""}}"
"What is the organic_carbon content in California, USA?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""California, USA"", ""variable"": ""organic_carbon""}}"
"What is the nitrogen content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""nitrogen""}}"
"What is the clay content in Cape Town, South Africa?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Cape Town, South Africa"", ""variable"": ""clay""}}"
"What is the silt content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""silt""}}"
"What is the silt content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""silt""}}"
"What is the phosphorus content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""phosphorus""}}"
"What is the sand content in Dublin, Ireland?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Dublin, Ireland"", ""variable"": ""sand""}}"
"What is the silt content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""silt""}}"
"What is the moisture content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""moisture""}}"
"What is the nitrogen content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""nitrogen""}}"
"What is the moisture content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""moisture""}}"
"What is the moisture content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""moisture""}}"
"What is the silt content in Cape Town, South Africa?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Cape Town, South Africa"", ""variable"": ""silt""}}"
"What is the silt content in Sydney, Australia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Sydney, Australia"", ""variable"": ""silt""}}"
"What is the organic_carbon content in California, USA?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""California, USA"", ""variable"": ""organic_carbon""}}"
"What is the nitrogen content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""nitrogen""}}"
"What is the nitrogen content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""nitrogen""}}"
"What is the phosphorus content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""phosphorus""}}"
"What is the silt content in Paris, France?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Paris, France"", ""variable"": ""silt""}}"
"What is the sand content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""sand""}}"
"What is the pH content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""pH""}}"
"What is the organic_carbon content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""organic_carbon""}}"
"What is the phosphorus content in Cape Town, South Africa?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Cape Town, South Africa"", ""variable"": ""phosphorus""}}"
"What is the organic_carbon content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""organic_carbon""}}"
"What is the phosphorus content in Dublin, Ireland?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Dublin, Ireland"", ""variable"": ""phosphorus""}}"
"What is the silt content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""silt""}}"
"What is the nitrogen content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""nitrogen""}}"
"What is the silt content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""silt""}}"
"What is the organic_carbon content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""organic_carbon""}}"
"What is the nitrogen content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""nitrogen""}}"
"What is the phosphorus content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""phosphorus""}}"
"What is the nitrogen content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""nitrogen""}}"
"What is the silt content in Dublin, Ireland?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Dublin, Ireland"", ""variable"": ""silt""}}"
"What is the organic_carbon content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""organic_carbon""}}"
"What is the pH content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""pH""}}"
"What is the pH content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""pH""}}"
"What is the nitrogen content in California, USA?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""California, USA"", ""variable"": ""nitrogen""}}"
"What is the phosphorus content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""phosphorus""}}"
"What is the nitrogen content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""nitrogen""}}"
"What is the sand content in Paris, France?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Paris, France"", ""variable"": ""sand""}}"
"What is the clay content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""clay""}}"
"What is the silt content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""silt""}}"
"What is the silt content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""silt""}}"
"What is the sand content in Sydney, Australia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Sydney, Australia"", ""variable"": ""sand""}}"
"What is the silt content in Toronto, Canada?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Toronto, Canada"", ""variable"": ""silt""}}"
"What is the clay content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""clay""}}"
"What is the moisture content in California, USA?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""California, USA"", ""variable"": ""moisture""}}"
"What is the phosphorus content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""phosphorus""}}"
"What is the phosphorus content in Toronto, Canada?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Toronto, Canada"", ""variable"": ""phosphorus""}}"
"What is the sand content in Dublin, Ireland?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Dublin, Ireland"", ""variable"": ""sand""}}"
"What is the nitrogen content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""nitrogen""}}"
"What is the sand content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""sand""}}"
"What is the moisture content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""moisture""}}"
"What is the organic_carbon content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""organic_carbon""}}"
"What is the silt content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""silt""}}"
"What is the sand content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""sand""}}"
"What is the silt content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""silt""}}"
"What is the nitrogen content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""nitrogen""}}"
"What is the silt content in Toronto, Canada?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Toronto, Canada"", ""variable"": ""silt""}}"
"What is the silt content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""silt""}}"
"What is the pH content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""pH""}}"
"What is the silt content in Toronto, Canada?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Toronto, Canada"", ""variable"": ""silt""}}"
"What is the sand content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""sand""}}"
"What is the pH content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""pH""}}"
"What is the phosphorus content in Dublin, Ireland?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Dublin, Ireland"", ""variable"": ""phosphorus""}}"
"What is the organic_carbon content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""organic_carbon""}}"
"What is the phosphorus content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""phosphorus""}}"
"What is the moisture content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""moisture""}}"
"What is the clay content in Sydney, Australia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Sydney, Australia"", ""variable"": ""clay""}}"
"What is the pH content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""pH""}}"
"What is the moisture content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""moisture""}}"
"What is the silt content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""silt""}}"
"What is the phosphorus content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""phosphorus""}}"
"What is the sand content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""sand""}}"
"What is the moisture content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""moisture""}}"
"What is the silt content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""silt""}}"
"What is the sand content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""sand""}}"
"What is the nitrogen content in Sydney, Australia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Sydney, Australia"", ""variable"": ""nitrogen""}}"
"What is the clay content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""clay""}}"
"What is the pH content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""pH""}}"
"What is the phosphorus content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""phosphorus""}}"
"What is the organic_carbon content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""organic_carbon""}}"
"What is the silt content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""silt""}}"
"What is the moisture content in Paris, France?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Paris, France"", ""variable"": ""moisture""}}"
"What is the clay content in Paris, France?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Paris, France"", ""variable"": ""clay""}}"
"What is the nitrogen content in Paris, France?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Paris, France"", ""variable"": ""nitrogen""}}"
"What is the phosphorus content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""phosphorus""}}"
"What is the moisture content in Tokyo, Japan?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Tokyo, Japan"", ""variable"": ""moisture""}}"
"What is the sand content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""sand""}}"
"What is the pH content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""pH""}}"
"What is the nitrogen content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""nitrogen""}}"
"What is the moisture content in Mexico City, Mexico?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Mexico City, Mexico"", ""variable"": ""moisture""}}"
"What is the silt content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""silt""}}"
"What is the pH content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""pH""}}"
"What is the moisture content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""moisture""}}"
"What is the pH content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""pH""}}"
"What is the phosphorus content in Cape Town, South Africa?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Cape Town, South Africa"", ""variable"": ""phosphorus""}}"
"What is the sand content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""sand""}}"
"What is the phosphorus content in Moscow, Russia?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Moscow, Russia"", ""variable"": ""phosphorus""}}"
"What is the organic_carbon content in Dublin, Ireland?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Dublin, Ireland"", ""variable"": ""organic_carbon""}}"
"What is the sand content in Dublin, Ireland?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Dublin, Ireland"", ""variable"": ""sand""}}"
"What is the pH content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""pH""}}"
"What is the sand content in Cape Town, South Africa?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Cape Town, South Africa"", ""variable"": ""sand""}}"
"What is the organic_carbon content in São Paulo, Brazil?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""S\u00e3o Paulo, Brazil"", ""variable"": ""organic_carbon""}}"
"What is the nitrogen content in California, USA?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""California, USA"", ""variable"": ""nitrogen""}}"
"What is the nitrogen content in Dublin, Ireland?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Dublin, Ireland"", ""variable"": ""nitrogen""}}"
"What is the pH content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""pH""}}"
"What is the phosphorus content in New Delhi, India?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""New Delhi, India"", ""variable"": ""phosphorus""}}"
"What is the clay content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""clay""}}"
"What is the nitrogen content in London, UK?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""London, UK"", ""variable"": ""nitrogen""}}"
"What is the silt content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""silt""}}"
"What is the pH content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""pH""}}"
"What is the clay content in Berlin, Germany?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Berlin, Germany"", ""variable"": ""clay""}}"
"What is the phosphorus content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""phosphorus""}}"
"What is the silt content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""silt""}}"
"What is the phosphorus content in Bangkok, Thailand?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Bangkok, Thailand"", ""variable"": ""phosphorus""}}"
"What is the phosphorus content in Seoul, South Korea?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Seoul, South Korea"", ""variable"": ""phosphorus""}}"
"What is the sand content in Cape Town, South Africa?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Cape Town, South Africa"", ""variable"": ""sand""}}"
"What is the clay content in Beijing, China?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Beijing, China"", ""variable"": ""clay""}}"
"What is the silt content in Cape Town, South Africa?","{""function"": ""get_soil_data"", ""parameters"": {""location"": ""Cape Town, South Africa"", ""variable"": ""silt""}}"
